NY_1,S_21,1000000,400000,125000
NY_2,S_22,200000,80000,25000
NY_3,S_23,3000000,1200000,375000
NY_4,S_21,500000,200000,62500
NY_5,S_22,1000000,400000,125000
NY_6,S_23,200000,80000,25000
NY_7,S_21,3000000,1200000,375000
NY_8,S_22,500000,200000,62500
NY_9,S_23,1000000,400000,125000
NY_10,S_23,200000,80000,25000
CA_1,S_71,3000000,1200000,375000
CA_2,S_73,500000,200000,62500
CA_3,S_71,1000000,400000,125000
CA_4,S_73,200000,80000,25000
CA_5,S_71,3000000,1200000,375000
CA_6,S_73,500000,200000,62500
CA_7,S_71,1000000,400000,125000
WA_1,S_61,200000,80000,25000
WA_2,S_62,3000000,1200000,375000
WA_3,S_61,500000,200000,62500
WA_4,S_62,1000000,400000,125000
WA_5,S_61,200000,80000,25000
WA_6,S_62,3000000,1200000,375000
WA_7,S_61,500000,200000,62500